# Oura Ring Event Export
# Timestamp: Sun Jan 11 23:51:16 GMT+01:00 2026
# Events: 184
#
# Format: index|tag_hex|hex_data
#
78|0x80|API_GREEN_IBI_QUALITY_EVENT|8012fa7b00006c0a6c096a096b0e6c0f690a6a0e
79|0x80|API_GREEN_IBI_QUALITY_EVENT|8012347c00006e096d0f6e0d710f710b6d0e6f0b
80|0x80|API_GREEN_IBI_QUALITY_EVENT|8006417c00006f09
81|0x45|API_STATE_CHANGE_IND|450c427c000003666561206f6666
82|0x6c|API_FEATURE_SESSION|6c08477c000002030400
83|0x45|API_STATE_CHANGE_IND|450c097d00000474696d656f7574
84|0x46|API_TEMP_EVENT|460ab77d0000630dac0d9d0b
85|0x45|API_STATE_CHANGE_IND|450fe77d0000036d6f74696f6e20646574
86|0x47|API_MOTION_EVENT|470afc7e00006448b6f40501
87|0x46|API_TEMP_EVENT|460a0f8000006d0d100e9d0b
88|0x47|API_MOTION_EVENT|470a288000006d1706a90801
89|0x47|API_MOTION_EVENT|47095481000061d33f9f01
90|0x46|API_TEMP_EVENT|460a67820000570dac0d8d0b
91|0x47|API_MOTION_EVENT|470a8082000039fca4fb1401
92|0x6c|API_FEATURE_SESSION|6c089e83000002010400
93|0x45|API_STATE_CHANGE_IND|450ea183000005687220656e61626c65
94|0x47|API_MOTION_EVENT|470ab0830000323cbe060e03
95|0x80|API_GREEN_IBI_QUALITY_EVENT|8012608400008406720d710c700d71087109730b
96|0x80|API_GREEN_IBI_QUALITY_EVENT|8012708400006f08fa1054123d5030504e523fb6
97|0x46|API_TEMP_EVENT|460abf8400001b0dac0d5c0b
98|0x47|API_MOTION_EVENT|4709d88400006b74e60d03
99|0x80|API_GREEN_IBI_QUALITY_EVENT|8012e68400003aaa437c447b45793d6e5c704377
100|0x80|API_GREEN_IBI_QUALITY_EVENT|8012f684000030914e526b14fa10d81457129111
101|0x80|API_GREEN_IBI_QUALITY_EVENT|80122885000071147117720e6d0e6e0f701a6f1e
102|0x80|API_GREEN_IBI_QUALITY_EVENT|80127c8500006d0f6f09730d710f730d7508730b
103|0x80|API_GREEN_IBI_QUALITY_EVENT|8012c6850000830f6c5f665d601a6a0a634f4756
104|0x80|API_GREEN_IBI_QUALITY_EVENT|8012e08500007d95fa704a90459461125e4f5e0b
105|0x80|API_GREEN_IBI_QUALITY_EVENT|800a058600005ebf5dbc5c99
106|0x45|API_STATE_CHANGE_IND|450c0686000003666561206f6666
107|0x6c|API_FEATURE_SESSION|6c080b86000002030400
108|0x47|API_MOTION_EVENT|470a0c8600007047c3230a01
109|0x46|API_TEMP_EVENT|460a17870000120d7a0d4b0b
110|0x47|API_MOTION_EVENT|470a308700007afa8c261601
111|0x47|API_MOTION_EVENT|470a5c8800009a15a32b1604
112|0x6d|API_MEAS_QUALITY_EVENT|6d11eb88000000b8ffffb2ffff7dffff84ffff
113|0x6d|API_MEAS_QUALITY_EVENT|6d11658900000094ffff81ffffbeffffccffff
114|0x46|API_TEMP_EVENT|460a6f8900006f0cb20c980a
115|0x50|API_ACTIVITY_INFO|500f88890000570f130d0d0c0d0d180d24
116|0x47|API_MOTION_EVENT|470a89890000790cac2b1304
117|0x6d|API_MEAS_QUALITY_EVENT|6d11df8900000092ffff82ffff54ffffa5ffff
118|0x6d|API_MEAS_QUALITY_EVENT|6d11588a00000087ffffcaffffdaffffafffff
119|0x47|API_MOTION_EVENT|470ab48a00007718a72c1402
120|0x6d|API_MEAS_QUALITY_EVENT|6d11d28a000000a0ffff72ffffe5fffffcffff
121|0x6d|API_MEAS_QUALITY_EVENT|6d114c8b000000fdfffffdfffffdfffffdffff
122|0x6d|API_MEAS_QUALITY_EVENT|6d11c68b00000099ffffa3ffffeffffffcffff
123|0x46|API_TEMP_EVENT|460ac78b0000410c800c780a
124|0x47|API_MOTION_EVENT|470ae08b00006543da4a0302
125|0x6d|API_MEAS_QUALITY_EVENT|6d11408c000000ffffffffffffffffffffffff
126|0x6d|API_MEAS_QUALITY_EVENT|6d11ba8c000000ffffffffffffffffffffffff
127|0x6c|API_FEATURE_SESSION|6c08f88c000002010400
128|0x45|API_STATE_CHANGE_IND|450efa8c000005687220656e61626c65
129|0x80|API_GREEN_IBI_QUALITY_EVENT|8012f28d000057c4fab02fb42db6fab059b07875
