# Oura Ring Event Export
# Events: 1015
# Format: index|tag_hex|event_name|hex_data
73|0x45|API_STATE_CHANGE_IND|4512b0530c00086368672e206465746563746564
74|0x61|API_MEAS_QUALITY_EVENT|6112b1530c00096f2001001c020000cc55000001
75|0x61|API_MEAS_QUALITY_EVENT|6111b2530c000a000000002300000000000000
76|0x61|API_MEAS_QUALITY_EVENT|6111b3530c000d00000000000000005b780100
77|0x61|API_MEAS_QUALITY_EVENT|610eb4530c000c5f7801001e00000001
78|0x61|API_MEAS_QUALITY_EVENT|610cb5530c0029040a0300000400
79|0x61|API_MEAS_QUALITY_EVENT|610cb6530c0029040a0300000419
80|0x43|API_DEBUG_EVENT|4310b7530c006368675f72703b303b323636
81|0x61|API_MEAS_QUALITY_EVENT|6112b8530c00099977010032000000bb3b000080
82|0x61|API_MEAS_QUALITY_EVENT|6112b9530c002800000000000000000000000000
83|0x61|API_MEAS_QUALITY_EVENT|6112ba530c002801000000000000000000000000
84|0x43|API_DEBUG_EVENT|4312bb530c00636867763b363739303b34383330
85|0x43|API_DEBUG_EVENT|430fbc530c006368675f68733b34383330
86|0x61|API_MEAS_QUALITY_EVENT|6112bd530c00046368675f72703b343b34313732
87|0x43|API_DEBUG_EVENT|4312be530c00636867763b363830343b34313434
88|0x43|API_DEBUG_EVENT|430fbf530c006368675f68733b35373534
89|0x61|API_MEAS_QUALITY_EVENT|610bc0530c0004647461703a31
90|0x61|API_MEAS_QUALITY_EVENT|6111c1530c003cff01003a261039fb06029506
91|0x61|API_MEAS_QUALITY_EVENT|6105df530c0039
92|0x41|API_RING_START_IND|4112e0530c001000000030020706010001020000
93|0x43|API_DEBUG_EVENT|430fe1530c006769743b36366264636236
94|0x43|API_DEBUG_EVENT|430ee2530c00534e483b303834313030
95|0x43|API_DEBUG_EVENT|4312e3530c00534e4c3b32303136304132353032
96|0x43|API_DEBUG_EVENT|430fe4530c00485749443b4f52455f3036
97|0x61|API_MEAS_QUALITY_EVENT|6112e5530c000444462d48203230303030303230
98|0x61|API_MEAS_QUALITY_EVENT|6112e6530c000444462d4c203030303030303030
99|0x61|API_MEAS_QUALITY_EVENT|6112e7530c000444462d42203030303030383030
100|0x61|API_MEAS_QUALITY_EVENT|6112e8530c000444462d41203041303030303030
101|0x61|API_MEAS_QUALITY_EVENT|6112e9530c000444462d31203030303030303031
102|0x61|API_MEAS_QUALITY_EVENT|6112ea530c000444462d30203031303030303030
103|0x43|API_DEBUG_EVENT|430deb530c00537720746f20417070
104|0x43|API_DEBUG_EVENT|430cec530c00696e5f6265643d30
105|0x43|API_DEBUG_EVENT|430ced530c00695f696e666f3d30
106|0x43|API_DEBUG_EVENT|430dee530c00776474203163363731
107|0x43|API_DEBUG_EVENT|430fef530c007764736362203235663039
108|0x43|API_DEBUG_EVENT|430bf0530c0062632030783533
109|0x43|API_DEBUG_EVENT|430af1530c0070663b307837
110|0x43|API_DEBUG_EVENT|430af2530c0045464c4f3a30
111|0x43|API_DEBUG_EVENT|4309f3530c0043634d3b31
112|0x43|API_DEBUG_EVENT|430cf4530c004363503b313b4e41
113|0x43|API_DEBUG_EVENT|4310f5530c004363563b3634363431303034
114|0x43|API_DEBUG_EVENT|4312f6530c0043686753743b3030303030383163
115|0x43|API_DEBUG_EVENT|430df7530c004647646361703b3431
116|0x43|API_DEBUG_EVENT|4311f8530c007465663b323332383b30303066
117|0x61|API_MEAS_QUALITY_EVENT|6109f9530c002464000000
118|0x43|API_DEBUG_EVENT|430cfa530c00424d5662493b3530
119|0x43|API_DEBUG_EVENT|4312fb530c0043686753743b3030303030383138
120|0x43|API_DEBUG_EVENT|430efc530c00626c657365636b3b3136
121|0x43|API_DEBUG_EVENT|430ffd530c00626c65703235363b343039
122|0x45|API_STATE_CHANGE_IND|4505fe530c0008
123|0x61|API_MEAS_QUALITY_EVENT|6112ff530c000900000000100000001300000000
124|0x61|API_MEAS_QUALITY_EVENT|611100540c000a000000006100000000000000
125|0x61|API_MEAS_QUALITY_EVENT|611101540c000d000000000000000000000000
126|0x61|API_MEAS_QUALITY_EVENT|610e02540c000c250000002200000000
127|0x43|API_DEBUG_EVENT|430e03540c0061636d5f626d61343536
128|0x43|API_DEBUG_EVENT|430e04540c00726461746120696e6974
129|0x61|API_MEAS_QUALITY_EVENT|610e05540c001f270a00000000040301
130|0x61|API_MEAS_QUALITY_EVENT|611106540c002b090013002800510068190000
131|0x43|API_DEBUG_EVENT|430c07540c0046475666253b3835
132|0x43|API_DEBUG_EVENT|430908540c00424c533b33
133|0x43|API_DEBUG_EVENT|431209540c0043686753743b3030303030383162
134|0x43|API_DEBUG_EVENT|430d0a540c00626174743a20313030
135|0x61|API_MEAS_QUALITY_EVENT|610c0b540c0029040a0300000400
136|0x61|API_MEAS_QUALITY_EVENT|610c0c540c0029040a0300000419
137|0x43|API_DEBUG_EVENT|430e0d540c006368675f72703b303b30
138|0x61|API_MEAS_QUALITY_EVENT|61120e540c000984aa010065000000e200000080
139|0x61|API_MEAS_QUALITY_EVENT|61120f540c002800000000000000000000000000
140|0x61|API_MEAS_QUALITY_EVENT|611210540c002801000000000000000000000000
141|0x43|API_DEBUG_EVENT|431211540c0043686753743b3030303030613163
142|0x43|API_DEBUG_EVENT|431212540c00636867763b363831383b35393336
143|0x43|API_DEBUG_EVENT|430f13540c006368675f68733b35393336
144|0x43|API_DEBUG_EVENT|430c14540c006368675f62633b30
145|0x61|API_MEAS_QUALITY_EVENT|611215540c00046368675f72703b313b35393932
146|0x43|API_DEBUG_EVENT|430c16540c0046475666253b3836
147|0x43|API_DEBUG_EVENT|43121b540c00636867763b363831383b35393530
148|0x43|API_DEBUG_EVENT|430f1c540c006368675f68733b35393932
149|0x61|API_MEAS_QUALITY_EVENT|611247540c003680030101323032373041323530
150|0x61|API_MEAS_QUALITY_EVENT|610d48540c00360134303230393830
151|0x61|API_MEAS_QUALITY_EVENT|610e9f540c0036841700000000000000
152|0x61|API_MEAS_QUALITY_EVENT|6108a0540c0036850000
153|0x61|API_MEAS_QUALITY_EVENT|6112a1540c003686000068c5c9c468c5dbc4dbc4
154|0x61|API_MEAS_QUALITY_EVENT|6110a2540c003687c2c3a6c4f1c0c9c43fc2
155|0x61|API_MEAS_QUALITY_EVENT|610ba3540c0036880021c583c4
156|0x61|API_MEAS_QUALITY_EVENT|6109a4540c003609000f00
157|0x43|API_DEBUG_EVENT|4311d0540c006368675f696e643b3130303b31
158|0x61|API_MEAS_QUALITY_EVENT|6112e1540c00046368675f72703b313b36373438
159|0x43|API_DEBUG_EVENT|430ee2540c006368675f72633b313b31
160|0x43|API_DEBUG_EVENT|4312e3540c00636867763b363736323b35393336
161|0x43|API_DEBUG_EVENT|430fe4540c006368675f68733b35393530
162|0x43|API_DEBUG_EVENT|4311ed540c006368675f696e643b3130303b31
163|0x61|API_MEAS_QUALITY_EVENT|6112fd540c00046368675f72703b313b36373438
164|0x43|API_DEBUG_EVENT|4312ff540c00636867763b363736323b35393530
165|0x43|API_DEBUG_EVENT|430f00550c006368675f68733b35393738
166|0x43|API_DEBUG_EVENT|431112550c006368675f696e643b3130303b31
167|0x61|API_MEAS_QUALITY_EVENT|611223550c00046368675f72703b313b36373438
168|0x43|API_DEBUG_EVENT|430e24550c006368675f72633b303b31
169|0x43|API_DEBUG_EVENT|431226550c00636867763b363737363b35353538
170|0x43|API_DEBUG_EVENT|430f27550c006368675f68733b35353836
171|0x61|API_MEAS_QUALITY_EVENT|610c29550c0029040a0300000400
172|0x43|API_DEBUG_EVENT|431135550c006368675f696e643b3130303b31
173|0x61|API_MEAS_QUALITY_EVENT|611246550c00046368675f72703b313b36373438
174|0x43|API_DEBUG_EVENT|431248550c00636867763b363736323b35353836
175|0x43|API_DEBUG_EVENT|430f49550c006368675f68733b35363030
176|0x43|API_DEBUG_EVENT|431253550c006368675f696e643b3130303b3363
177|0x46|API_TEMP_EVENT|460a55560c00b50b1c0c030a
178|0x43|API_DEBUG_EVENT|4312ac570c0043686753743b3030303030613165
179|0x43|API_DEBUG_EVENT|430dad570c00626174743a20313030
180|0x61|API_MEAS_QUALITY_EVENT|6112ae570c00140064fc0f590700001545000050
181|0x61|API_MEAS_QUALITY_EVENT|610faf570c0021bc08d10d8610e644b955
182|0x43|API_DEBUG_EVENT|430eb0570c007263656c6c3b30353763
183|0x61|API_MEAS_QUALITY_EVENT|6112b1570c001e0101040f053f3fd10dbc088610
184|0x43|API_DEBUG_EVENT|4311b2570c0046476c63753b2038363b203836
185|0x61|API_MEAS_QUALITY_EVENT|6112b3570c00046368675f72703b313b36373736
186|0x43|API_DEBUG_EVENT|430eb4570c006368675f72633b313b31
187|0x43|API_DEBUG_EVENT|430cb5570c006368675f646f6e65
188|0x43|API_DEBUG_EVENT|4312b6570c00636867763b363739303b35373936
189|0x43|API_DEBUG_EVENT|430fb7570c006368675f68733b35383234
190|0x43|API_DEBUG_EVENT|430cbc570c006368675f62633b32
191|0x43|API_DEBUG_EVENT|4310c8570c006368675f696e643b39353b61
192|0x43|API_DEBUG_EVENT|430dc9570c00696e64635f73747270
193|0x79|UNKNOWN_79|7908cd570c0002000000
194|0x61|API_MEAS_QUALITY_EVENT|6110ce570c0020600000006464df0ffc0f01
195|0x61|API_MEAS_QUALITY_EVENT|6111cf570c0027fc0f0000bd0bf80ffc0f5500
196|0x79|UNKNOWN_79|7908d0570c0002010000
197|0x79|UNKNOWN_79|7912d1570c000301801c08000000000000f70b90
198|0x79|UNKNOWN_79|7908d2570c0003010113
199|0x79|UNKNOWN_79|7908d3570c0002020000
200|0x43|API_DEBUG_EVENT|4312d4570c0043686753743b3030303030383163
201|0x43|API_DEBUG_EVENT|4312d5570c0043686753743b3030303030383138
202|0x43|API_DEBUG_EVENT|4312d6570c0043686753743b3030303030383162
203|0x43|API_DEBUG_EVENT|430dd7570c00626174743a20313030
204|0x79|UNKNOWN_79|7908d8570c0002080000
205|0x79|UNKNOWN_79|7909d9570c00030800ed0f
206|0x79|UNKNOWN_79|7908da570c00020e0000
207|0x79|UNKNOWN_79|7909db570c00030e008f0b
